rank;Mountain name(s);Height_m;Height_ft;Prominence_m;Prominence_ft;Range;latitude;longitude;Parent mountain;ascents_first;ascents_before_2004_successful;ascents_before_2004_unsuccessful;country
63;Sunanda Devi Nanda Devi East;7434;24390;229;751;Garhwal Himalaya;30.36666667;79.99444444;Nanda Devi;1939;14;12;India
64;K12;7428;24370;1978;6490;Saltoro Karakoram;35.29583333;77.02222222;Saltoro Kangri;1974;4;2;India Pakistan
65;Yangra Ganesh I;7422;24350;2352;7717;Ganesh Himalaya;28.39138889;85.12722222;Shishapangma;1955;1;6;Nepal China
66;Sia Kangri;7422;24350;642;2106;Siachen Karakoram;35.66333333;76.76166667;Gasherbrum I;1934;6;0;Pakistan India China
67;Momhil Sar;7414;24324;907;2976;Hispar Karakoram;36.31777778;75.03638889;Trivor;1964;2;6;Pakistan
68;Kabru N;7412;24318;720;2360;Kangchenjunga Himalaya;27.63388889;88.11666667;Kangchenjunga;1994;1;2;India Nepal
69;Skil Brum;7410;24310;1152;3780;Baltoro Karakoram;35.85083333;76.42861111;K2;1957;2;1;Pakistan
70;Haramosh Peak;7409;24308;2277;7470;Rakaposhi-Haramosh Karakoram;35.84;74.8975;Malubiting;1958;4;3;Pakistan
71;Istor-o-Nal;7403;24288;1043;3422;Hindu Kush;36.37555556;71.89833333;Noshaq;1969;4;5;Pakistan
72;Ghent Kangri;7401;24281;1493;4898;Saltoro Karakoram;35.51777778;76.80055556;Saltoro Kangri;1961;4;0;India Pakistan
73;Ultar;7388;24239;688;2257;Batura Karakoram;36.39083333;74.71666667;Shispare;1996;2;5;Pakistan
74;Rimo I;7385;24229;1428;4685;Rimo Karakoram;35.355;77.36888889;Teram Kangri I;1988;1;3;India
75;Churen Himal;7385;24229;650;2130;Dhaulagiri Himalaya;28.73472222;83.2175;Dhaulagiri IV;1970;3;0;Nepal
76;Teram Kangri III;7382;24219;520;1710;Siachen Karakoram;35.59972222;77.04805556;Teram Kangri I;1979;1;0;India China
77;Sherpi Kangri;7380;24210;1320;4330;Saltoro Karakoram;35.46611111;76.78138889;Ghent Kangri;1976;1;1;India Pakistan
78;Labuche Kang;7367;24170;1957;6421;Labuche Himalaya;28.30416667;86.35083333;Cho Oyu;1987;1;0;China
79;Kirat Chuli;7362;24154;1168;3832;Kangchenjunga Himalaya;27.78777778;88.19527778;Kangchenjunga;1939;1;6;India Nepal
80;Abi Gamin;7355;24131;217;712;Garhwal Himalaya;30.9325;79.6025;Kamet;1950;17;2;India China
81;Gimmigela Chuli The Twins;7350;24110;432;1417;Kangchenjunga Himalaya;27.74083333;88.15861111;Kangchenjunga;1994;3;1;India Nepal
82;Nangpai Gosum;7350;24110;427;1401;Mahalangur Himalaya;28.07333333;86.61416667;Cho Oyu;1986;;1;Nepal China
83;Saraghrar;7349;24111;1979;6493;Hindu Kush;36.5475;72.115;Noshaq;1959;2;3;Pakistan
84;Talung;7349;24111;366;1201;Kangchenjunga Himalaya;27.655;88.13083333;Kabru;1964;3;4;Nepal India
85;Jomolhari Chomo Lhari;7326;24035;2341;7680;Jomolhari Himalaya;27.82666667;89.26777778;Gangkhar Puensum;1937;4;0;Bhutan China
86;Chamlang;7321;24019;1241;4072;Mahalangur Himalaya;27.775;86.97972222;Lhotse;1961;7;1;Nepal
87;Chongtar;7315;23999;1295;4249;Baltoro Karakoram;35.91527778;76.42916667;Skil Brum;1994;1;1;China
88;Baltoro Kangri;7312;23990;1140;3740;Masherbrum Karakoram;35.63916667;76.67333333;Chogolisa;1963;1;0;Pakistan
89;Siguang Ri;7309;23980;669;2195;Mahalangur Himalaya;28.14722222;86.685;Cho Oyu;1989;2;1;China
90;The Crown Huang Guan Shan;7295;23934;1919;6296;Yengisogat Karakoram;36.10666667;76.20583333;Skil Brum (K2);1993;1;5;China
91;Porong Ri;7292;23924;512;1680;Langtang Himalaya;28.38944444;85.72;Shishapangma;1982;5;0;China
92;Baintha Brakk The Ogre;7285;23901;1891;6204;Panmah Karakoram;35.9475;75.75333333;Kanjut Sar;1977;3;13;Pakistan
93;Yutmaru Sar;7283;23894;680;2230;Hispar Karakoram;36.22638889;75.36722222;Yukshin Gardan Sar;1980;1;1;Pakistan
94;K6 Baltistan Peak;7282;23891;1962;6437;Masherbrum Karakoram;35.41833333;76.55166667;Chogolisa;1970;1;3;Pakistan
95;Kangpenqing Gang Benchhen;7281;23888;1345;4413;Baiku Himalaya;28.55083333;85.54555556;Shishapangma;1982;1;1;China
96;Muztagh Tower;7276;23871;1710;5610;Baltoro Karakoram;35.82777778;76.36111111;Skil Brum;1956;4;2;Pakistan China
97;Mana Peak;7272;23858;732;2402;Garhwal Himalaya;30.88055556;79.61527778;Kamet;1937;7;3;India
98;Dhaulagiri VI;7268;23845;488;1601;Dhaulagiri Himalaya;28.70861111;83.27416667;Dhaulagiri IV;1970;5;0;Nepal
99;Diran;7266;23839;1329;4360;Rakaposhi-Haramosh Karakoram;36.12027778;74.66166667;Malubiting;1968;12;8;Pakistan
100;Labuche Kang III Labuche Kang East;7250;23790;570;1870;Labuche Himalaya;28.30138889;86.38388889;Labuche Himilaya;unclimbed;0;0;China
101;Putha Hiunchuli;7246;23773;1151;3776;Dhaulagiri Himalaya;28.74777778;83.14611111;Churen Himal;1954;11;5;Nepal
102;Apsarasas Kangri;7245;23770;607;1991;Siachen Karakoram;35.53861111;77.14861111;Teram Kangri I;1976;2;0;India China
103;Mukut Parbat;7242;23760;683;2241;Garhwal Himalaya;30.94916667;79.57;Kamet;1951;2;1;India China
